"","UNIT_CODE","County","Year","Month","Monthly_Med"
"1","OLYM","53031",1992,1,15.5
"2","OLYM","53031",1992,2,20
"3","OLYM","53031",1992,3,25
"4","OLYM","53031",2000,1,40
"5","OLYM","53031",2000,2,48
"6","OLYM","53031",2000,3,29
"7","OLYM","53031",2000,4,30
"8","OLYM","53031",2000,5,25
"9","OLYM","53031",2000,6,19
"10","OLYM","53031",2000,7,27.5
"11","OLYM","53031",2000,8,28
"12","OLYM","53031",2000,9,23
"13","OLYM","53031",2000,10,40
"14","OLYM","53031",2000,11,63
"15","OLYM","53031",2000,12,55.5
"16","OLYM","53031",2001,1,36.5
"17","OLYM","53031",2001,2,46.5
"18","OLYM","53031",2001,3,35
"19","OLYM","53031",2002,10,47
"20","OLYM","53031",2002,11,49
"21","OLYM","53031",2002,12,34
"22","OLYM","53031",2003,1,50
"23","OLYM","53031",2003,2,48.5
"24","OLYM","53031",2003,3,19
"25","OLYM","53031",2003,4,19
"26","OLYM","53031",2003,5,25
"27","OLYM","53031",2003,6,23.5
"28","OLYM","53031",2003,7,20
"29","OLYM","53031",2003,8,24
"30","OLYM","53031",2003,9,20
"31","OLYM","53031",2003,10,23
"32","OLYM","53031",2003,11,42
"33","OLYM","53031",2003,12,25
"34","OLYM","53031",2004,1,25
"35","OLYM","53031",2004,2,34
"36","OLYM","53031",2004,3,25
"37","OLYM","53031",2004,4,22.5
"38","OLYM","53031",2004,5,21
"39","OLYM","53031",2004,6,19.5
"40","OLYM","53031",2004,7,27
"41","OLYM","53031",2004,8,24
"42","OLYM","53031",2004,9,25.5
"43","OLYM","53031",2004,10,31
"44","OLYM","53031",2004,11,44.5
"45","OLYM","53031",2004,12,33
"46","OLYM","53031",2005,1,30
"47","OLYM","53031",2005,2,51.5
"48","OLYM","53031",2005,3,28
"49","OLYM","53031",2005,4,21
"50","OLYM","53031",2005,5,23
"51","OLYM","53031",2005,6,21.5
"52","OLYM","53031",2005,7,24
"53","OLYM","53031",2005,8,28
"54","OLYM","53031",2005,9,21.5
"55","OLYM","53031",2005,10,31
"56","OLYM","53031",2005,11,29
"57","OLYM","53031",2005,12,33
"58","OLYM","53031",2006,1,21
"59","OLYM","53031",2006,2,31.5
"60","OLYM","53031",2006,3,24
"61","OLYM","53031",2006,4,22.5
"62","OLYM","53031",2006,5,21
"63","OLYM","53031",2006,6,22.5
"64","OLYM","53031",2006,7,24
"65","OLYM","53031",2006,8,26
"66","OLYM","53031",2006,10,33
"67","OLYM","53031",2006,11,23.5
"68","OLYM","53031",2006,12,37
"69","OLYM","53031",2007,1,28.5
"70","OLYM","53031",2007,2,29.5
"71","OLYM","53031",2007,3,20
"72","OLYM","53031",2007,4,19
"73","OLYM","53031",2007,5,23
"74","OLYM","53031",2007,6,17
"75","OLYM","53031",2007,7,16
"76","OLYM","53031",2007,8,20
"77","OLYM","53031",2007,9,26.5
"78","OLYM","53031",2007,10,25
"79","OLYM","53031",2007,11,40
"80","OLYM","53031",2007,12,23
"81","OLYM","53031",2008,1,23
"82","OLYM","53031",2008,2,36
"83","OLYM","53031",2008,3,26
"84","OLYM","53031",2008,4,25
"85","OLYM","53031",2008,5,24
"86","OLYM","53031",2008,6,19
"87","OLYM","53031",2008,7,23
"88","OLYM","53031",2008,8,21
"89","OLYM","53031",2008,9,23
"90","OLYM","53031",2008,10,31
"91","OLYM","53031",2008,11,31
"92","OLYM","53031",2008,12,23
"93","OLYM","53031",2009,1,35
"94","OLYM","53031",2009,2,41
"95","OLYM","53031",2009,3,23
"96","OLYM","53031",2009,4,24
"97","OLYM","53031",2009,5,23
"98","OLYM","53031",2009,6,26
"99","OLYM","53031",2009,7,29
"100","OLYM","53031",2009,8,30
"101","OLYM","53031",2009,9,21
"102","OLYM","53031",2009,10,22
"103","OLYM","53031",2009,11,17
"104","OLYM","53031",2009,12,37
"105","OLYM","53031",2010,1,19
"106","OLYM","53031",2010,2,28
"107","OLYM","53031",2010,3,20
"108","OLYM","53031",2010,4,16.5
"109","OLYM","53031",2010,5,16
"110","OLYM","53031",2010,6,14
"111","OLYM","53031",2010,7,19
"112","OLYM","53031",2010,8,19
