"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM","SeasType","Region","State","date","trendvis","VisDiff","MinSmoke","PredNoSmoke50CI","PredNoSmoke95CI","PredNoSmoke5CI","PredNoSmoke75CI","PredNoSmoke25CI"
"1","ARCH",1980,"06","Arches NP",47171,2.43424125301317e-09,0.490142612224017,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1980,49184.3261409448,-2013.32614094475,-0.528620043725305,54351.1285682924,147978.835255436,-37676.7977506473,92242.6549450921,16748.4036609258
"2","ARCH",1980,"07","Arches NP",43685,1.29742094845398e-09,-0.166005916304877,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1980,49458.5351821815,-5773.53518218145,-0.528620043725305,55349.4535266611,148525.981619759,-37376.680206818,93530.0829491208,17720.3645218637
"3","ARCH",1980,"08","Arches NP",47837,1.24198595852221e-09,-0.198001814800769,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1980,49732.7442234051,-1895.74422340507,-0.528620043725305,55557.2765017135,147765.691231847,-37006.1474900615,93894.4356631733,17405.7464615561
"4","ARCH",1981,"06","Arches NP",51670,1.79706893810305e-09,0.122380288512058,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1981,52474.8346356431,-804.83463564307,-0.528620043725305,57975.4537683451,151302.462903553,-34832.4558326082,95769.8517846376,20443.1060313037
"5","ARCH",1981,"07","Arches NP",48711,1.43009093456214e-09,-0.0894316188405359,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1981,52749.0436768666,-4038.04367686657,-0.528620043725305,58771.7641195857,150948.623141563,-35266.949559393,96156.4948242429,20671.7724884946
"6","ARCH",1981,"08","Arches NP",52953,1.18614529309724e-09,-0.230231860572933,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1981,53023.2527180901,-70.2527180900797,-0.528620043725305,58608.3792852184,151809.673370201,-34690.6760891269,96304.2974393372,20257.8824743038
"7","ARCH",1982,"06","Arches NP",55267,2.55110954583415e-09,0.557596508023233,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1982,55765.3431303281,-498.343130328081,-0.528620043725305,60958.7173681435,153739.207816003,-31747.0546050701,99115.6731427638,23612.2404808668
"8","ARCH",1982,"07","Arches NP",53035,1.86251492007017e-09,0.160154318931497,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1982,56039.5521715516,-3004.55217155158,-0.528620043725305,61722.352197235,154062.081458795,-30932.5152260733,99560.7848322399,24448.7839425161
"9","ARCH",1982,"08","Arches NP",52025,1.04085462471204e-09,-0.314090547726567,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1982,56313.7612127751,-4288.76121277508,-0.528620043725305,62212.592332054,155536.701125475,-30502.4895673901,100428.090832135,24527.9132072886
"10","ARCH",1983,"06","Arches NP",38975,2.28631624743514e-09,0.404763441608051,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1983,59055.8516250131,-20080.8516250131,-0.528620043725305,64725.6704938422,157234.397736951,-28432.9605042311,102933.23554062,26671.4774848049
"11","ARCH",1983,"07","Arches NP",50659,1.90399407351549e-09,0.184095205093206,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1983,59330.0606662366,-8671.06066623658,-0.528620043725305,64816.8403766936,158445.913891336,-27442.0109572938,103430.253087277,26522.7666655319
"12","ARCH",1983,"08","Arches NP",50320,6.69168220834848e-10,-0.528620043725305,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1983,59604.2697074601,-9284.26970746009,-0.528620043725305,65379.1628026544,158558.368984159,-26803.761894551,103273.302182166,27103.9397666927
"13","ARCH",1984,"06","Arches NP",58744,2.46710296636365e-09,0.509109695036824,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1984,62346.3601196981,-3602.36011969809,-0.528620043725305,67950.3239179735,160997.398854286,-25165.6725079015,106844.856249941,29579.5430535937
"14","ARCH",1984,"07","Arches NP",55728,1.41724221247586e-09,-0.0968476282631141,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1984,62620.5691609216,-6892.56916092159,-0.528620043725305,68694.7810598825,161181.88822553,-24901.7921508416,106483.307350645,30904.1016470229
"15","ARCH",1984,"08","Arches NP",57412,7.96940402558732e-10,-0.454872654899803,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1984,62894.7782021451,-5482.7782021451,-0.528620043725305,68618.9059477702,161453.999331645,-23898.6342373708,106951.483972228,30106.6590187672
"16","ARCH",1985,"06","Arches NP",56588,3.11754000392739e-09,0.884528134861075,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1985,65636.8686143831,-9048.8686143831,-0.528620043725305,71647.9539628717,164755.914668275,-20999.1251634309,109528.011171868,33843.8578436825
"17","ARCH",1985,"07","Arches NP",54484,2.23197216264737e-09,0.373397190385461,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1985,65911.0776556066,-11427.0776556066,-0.528620043725305,71847.1530616989,164955.600343591,-21494.0567577017,109688.496439087,33676.1081302095
"18","ARCH",1985,"08","Arches NP",61538,1.49930412529642e-09,-0.0494832355534365,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1985,66185.2866968301,-4647.28669683011,-0.528620043725305,72411.5982558664,164344.00713848,-21716.7933340677,110313.987895863,34292.2874186053
"19","ARCH",1986,"06","Arches NP",62158,2.46154474581317e-09,0.505901608217113,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1986,68927.3771090681,-6769.37710906811,-0.528620043725305,74223.8313910034,167507.461767122,-18508.8970916838,112106.428580605,36352.2199592747
"20","ARCH",1986,"07","Arches NP",63528,2.02416017280882e-09,0.253452524727771,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1986,69201.5861502916,-5673.58615029161,-0.528620043725305,75087.1343576533,167133.705362637,-17963.7051125035,112687.338031497,36906.2314919702
"21","ARCH",1986,"08","Arches NP",68397,1.43939660190995e-09,-0.084060585342315,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1986,69475.7951915151,-1078.79519151511,-0.528620043725305,75258.5068299336,168145.822632518,-17651.2718971812,114033.062863376,37401.6080037697
"22","ARCH",1987,"06","Arches NP",69019,2.00052019394548e-09,0.239808031149123,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1987,72217.8856037531,-3198.88560375311,-0.528620043725305,78152.2243788528,170050.02452124,-14862.6605678621,116012.959738366,40174.2271746864
"23","ARCH",1987,"07","Arches NP",71987,2.34635666451766e-09,0.43941749481502,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1987,72492.0946449766,-505.09464497662,-0.528620043725305,78186.0250210343,171198.044973021,-14769.6546077984,116232.030081028,40515.2861093165
"24","ARCH",1987,"08","Arches NP",80492,1.23847521127374e-09,-0.200028143528257,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1987,72766.3036862001,7725.69631379988,-0.528620043725305,78732.6006995793,173234.389277797,-14906.7119818704,116658.559620228,40286.1685182424
"25","ARCH",1988,"06","Arches NP",79183,2.1622947876665e-09,0.333180889812627,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1988,75508.3940984381,3674.60590156188,-0.528620043725305,80875.4806936817,174457.680319428,-10836.6401627273,119709.105499896,43401.927443452
"26","ARCH",1988,"07","Arches NP",77160,1.84004522729708e-09,0.147185289621912,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1988,75782.6031396616,1377.39686033838,-0.528620043725305,81442.0368450565,175002.407648679,-12204.3052807945,119402.319123518,43654.4062991461
"27","ARCH",1988,"08","Arches NP",80219,1.02714070582266e-09,-0.322005930363157,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1988,76056.8121808851,4162.18781911487,-0.528620043725305,81425.186424714,173714.698766904,-11357.0850761327,119674.007389902,44063.2878925801
"28","ARCH",1989,"06","Arches NP",80321,2.49281417730174e-09,0.523949659766576,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1989,78798.9025931231,1522.09740687687,-0.528620043725305,84444.9493535445,177659.576617742,-8821.6796278641,122605.986549963,46707.8207037108
"29","ARCH",1989,"07","Arches NP",78010,2.05550487741846e-09,0.27154402232357,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1989,79073.1116343466,-1063.11163434663,-0.528620043725305,84661.8968628223,177987.157229322,-8431.17254531546,123230.981665673,46696.1903528761
"30","ARCH",1989,"08","Arches NP",88731,1.89623672319783e-09,0.179617827291453,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1989,79347.3206755701,9383.67932442986,-0.528620043725305,84563.7779961564,177564.953983474,-6961.37003400525,122702.284271458,47059.0218153266
"31","ARCH",1990,"06","Arches NP",90154,2.80238121597165e-09,0.7026251778671,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1990,82089.4110878081,8064.58891219187,-0.528620043725305,87550.9235984915,179181.129139026,-6328.80406377302,126071.216796566,49738.0390247809
"32","ARCH",1990,"07","Arches NP",84017,1.96843497057841e-09,0.221289121858541,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1990,82363.6201290316,1653.37987096836,-0.528620043725305,87963.2161104183,179880.077748638,-4254.80931022466,125676.458003665,49910.3114943339
"33","ARCH",1990,"08","Arches NP",97265,1.44778389277178e-09,-0.0792196192412851,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1990,82637.8291702551,14627.1708297449,-0.528620043725305,88175.3570950691,180923.238249782,-4396.67573184957,126638.84300269,50740.8926333149
"34","ARCH",1991,"06","Arches NP",104120,3.74999542529508e-09,1.24956796782873,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1991,85379.9195824931,18740.0804175069,-0.528620043725305,91194.1304714031,183788.023325573,-2401.50613238798,129271.578436017,53242.6991591899
"35","ARCH",1991,"07","Arches NP",103591,1.80426074081197e-09,0.126531244248865,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1991,85654.1286237166,17936.8713762834,-0.528620043725305,91521.1752677941,183791.182059514,-716.248078798875,129245.023483042,53785.3420842324
"36","ARCH",1991,"08","Arches NP",116516,1.29221122691092e-09,-0.169012856901218,"Summer","ARCHSummer","ARCH08","High","Intermountain","UT",Aug 1991,85928.3376649401,30587.6623350599,-0.528620043725305,91725.529366735,184576.960704928,-1722.84848447795,129798.581339287,53279.0934893881
"37","ARCH",1992,"06","Arches NP",109882,1.77744630125432e-09,0.111054519397525,"Summer","ARCHSummer","ARCH06","High","Intermountain","UT",Jun 1992,88670.4280771781,21211.5719228219,-0.528620043725305,94032.0975152957,187729.129086133,1592.61917317034,131969.491710452,56200.2651145153
"38","ARCH",1992,"07","Arches NP",119021,1.91666571502935e-09,0.191409007371384,"Summer","ARCHSummer","ARCH07","High","Intermountain","UT",Jul 1992,88944.6371184016,30076.3628815984,-0.528620043725305,94539.8831254116,186815.559380093,1411.81621484649,132585.259820835,57324.8925867145
