"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM","SeasType","Region","State"
"1","ACAD","1980","01","Acadia NP",8966,2.72375733079144e-10,-0.757640237970673,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"2","ACAD","1980","02","Acadia NP",8225,2.28152399750492e-10,-0.78316500646211,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"3","ACAD","1980","03","Acadia NP",7505,3.76807585134031e-10,-0.697364391574764,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"4","ACAD","1980","04","Acadia NP",182879,6.94325041905586e-10,-0.514100061049213,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"5","ACAD","1980","05","Acadia NP",209301,6.50969222970588e-10,-0.539124118662606,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"6","ACAD","1980","06","Acadia NP",359552,7.36880112484073e-10,-0.489538178375641,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"7","ACAD","1980","07","Acadia NP",533885,3.3003486055172e-10,-0.724360614537082,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"8","ACAD","1980","08","Acadia NP",633067,4.01355476631338e-10,-0.683195870112006,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"9","ACAD","1980","09","Acadia NP",282636,2.57685567328636e-10,-0.766119089555559,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"10","ACAD","1980","10","Acadia NP",332937,2.68475131015578e-10,-0.759891582615136,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"11","ACAD","1980","11","Acadia NP",200461,3.38610056660471e-10,-0.719411193519496,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"12","ACAD","1980","12","Acadia NP",20252,3.88782089855155e-10,-0.690452961842978,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"13","ACAD","1981","01","Acadia NP",23330,2.64027216756446e-10,-0.762458824231465,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"14","ACAD","1981","02","Acadia NP",16207,3.01602798291611e-10,-0.740770996846577,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"15","ACAD","1981","03","Acadia NP",21923,5.72030978140958e-10,-0.584685596568914,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"16","ACAD","1981","04","Acadia NP",188071,5.83376791318813e-10,-0.578137034239619,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"17","ACAD","1981","05","Acadia NP",212500,6.48209985687487e-10,-0.540716691803592,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"18","ACAD","1981","06","Acadia NP",366518,5.14396913953163e-10,-0.617950754006988,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"19","ACAD","1981","07","Acadia NP",545981,1.82111853375133e-10,-0.809738631718189,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"20","ACAD","1981","08","Acadia NP",616233,1.2788514691664e-10,-0.841037134662773,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
