"","Year","Month","UnitCode","ParkName","Region","State","RecreationVisits","Smoke","stdsmoke","MAXSmoke","stdsmokeMAX","medSmoke","stdsmokemed","Season","CatColS","CatColM","SeasType"
"1",1980,1,"ARCH","Arches NP","Intermountain ","UT",3599,3.81293178482402e-10,-0.24211389164123,9.02276808822933e-10,-0.159588319431452,3.12446429839852e-10,-0.299541628359005,"Winter","ARCHWinter","ARCH1","Low"
"2",1980,1,"BIBE","Big Bend NP","Intermountain ","TX",23095,4.33793100813022e-09,0.396289325644797,1.55330059925518e-08,0.187277664705472,4.2049523862886e-09,0.784585227270638,"Winter","BIBEWinter","BIBE1","Shoulder"
"3",1980,1,"BLCA","Black Canyon of the Gunnison NP","Intermountain ","CO",2190,3.27545292859936e-10,-0.250786108958314,8.06217093085593e-10,-0.161865707483457,2.52921489307667e-10,-0.3161203021832,"Winter","BLCAWinter","BLCA1","Low"
"4",1980,1,"BRCA","Bryce Canyon NP","Intermountain ","UT",3598,3.18281161731042e-10,-0.252280875821667,8.66716143299584e-10,-0.160431393285696,2.55590854036924e-10,-0.315376840253318,"Winter","BRCAWinter","BRCA1","Low"
"5",1980,1,"CANY","Canyonlands NP","Intermountain ","UT",399,3.77020133303061e-10,-0.242803347160676,1.05428266117258e-09,-0.155984557861696,3.07265934917922e-10,-0.300984481300826,"Winter","CANYWinter","CANY1","Low"
"6",1980,1,"CARE","Capitol Reef NP","Intermountain ","UT",1501,2.99238129347086e-10,-0.255353467669651,7.65310592676371e-10,-0.162835520631104,2.42246944726077e-10,-0.319093338212431,"Winter","CAREWinter","CARE1","Low"
"7",1980,1,"CAVE","Carlsbad Caverns NP","Intermountain ","NM",23819,1.78393750757229e-09,-0.0157973342628434,1.00448200868186e-08,0.0571635069343306,8.99253949082635e-10,-0.136106094074837,"Winter","CAVEWinter","CAVE1","Low"
"8",1980,1,"CHIS","Channel Islands NP","Pacific West ","CA",4418,2.78453909571729e-09,0.145649656994917,9.59251789112159e-09,0.0464403061787446,2.24129448334054e-09,0.237674241989167,"Winter","CHISWinter","CHIS1","Low"
"9",1980,1,"CRLA","Crater Lake NP","Pacific West ","OR",8213,3.21872478043477e-10,-0.251701417203805,6.71815714170521e-10,-0.165052101406911,3.08106234969685e-10,-0.300750443931816,"Winter","CRLAWinter","CRLA1","Low"
"10",1980,1,"DEVA","Death Valley NP","Pacific West ","CA",53101,7.88828178404662e-10,-0.176358149946219,1.60965019091464e-09,-0.142817879540843,7.41149697169874e-10,-0.180140725596438,"Winter","DEVAWinter","DEVA1","Low"
"11",1980,1,"GLAC","Glacier NP","Intermountain ","MT",6156,2.4486149756554e-10,-0.264127133132382,4.32860164378823e-10,-0.170717270306056,2.45515330288271e-10,-0.318183039139758,"Winter","GLACWinter","GLAC1","Low"
"12",1980,1,"GRBA","Great Basin NP","Pacific West ","NV",266,2.53383986507703e-10,-0.262752030180276,6.74010292023297e-10,-0.165000072256682,2.26796095792459e-10,-0.323396653469652,"Winter","GRBAWinter","GRBA1","Low"
"13",1980,1,"GRCA","Grand Canyon NP","Intermountain ","AZ",55634,4.37530448251717e-10,-0.233040012378617,1.1305719693766e-09,-0.154175887518816,3.21233317723824e-10,-0.29709433573081,"Winter","GRCAWinter","GRCA1","Low"
"14",1980,1,"GRSA","Great Sand Dunes NP & PRES","Intermountain ","CO",1479,4.43778281595593e-10,-0.232031924936822,1.0176791631622e-09,-0.156852355235346,3.92045618191617e-10,-0.277371946733855,"Winter","GRSAWinter","GRSA1","Low"
"15",1980,1,"GRTE","Grand Teton NP","Intermountain ","WY",15804,2.64721575753269e-10,-0.260922711005193,5.89848281329353e-10,-0.166995388983531,2.58300547617552e-10,-0.3146221460758,"Winter","GRTEWinter","GRTE1","Low"
"16",1980,1,"GUMO","Guadalupe Mountains NP","Intermountain ","TX",4361,1.7453180057106e-09,-0.0220285879939136,8.75761152485666e-09,0.0266463085754851,9.28640164765682e-10,-0.127921550245292,"Winter","GUMOWinter","GUMO1","Low"
"17",1980,1,"JOTR","Joshua Tree NP","Pacific West ","CA",30316,7.82207366978674e-10,-0.17742641737361,3.81241216373951e-09,-0.0905946998258483,5.65373747818398e-10,-0.229097215168412,"Winter","JOTRWinter","JOTR1","Shoulder"
"18",1980,1,"KICA","Kings Canyon NP","Pacific West ","CA",14741,1.99908794043614e-10,-0.271380248476694,3.92929827564004e-10,-0.171663940523396,1.92365526285876e-10,-0.332986132708565,"Winter","KICAWinter","KICA1","Low"
"19",1980,1,"LAVO","Lassen Volcanic NP","Pacific West ","CA",20881,4.18931077104542e-10,-0.236041019519295,8.22625911833796e-10,-0.161476686472122,3.96870175611852e-10,-0.276028228233658,"Winter","LAVOWinter","LAVO1","Low"
"20",1980,1,"MEVE","Mesa Verde NP","Intermountain ","CO",1488,4.99683196253734e-10,-0.223011671146488,2.11634776370317e-09,-0.130805070743825,3.70181718611917e-10,-0.283461401950711,"Winter","MEVEWinter","MEVE1","Low"
"21",1980,1,"MORA","Mount Rainier NP","Pacific West ","WA",34198,6.6046010775118e-10,-0.197070328525697,2.04710026707744e-09,-0.13244679350176,5.69803260130897e-10,-0.227863523220589,"Winter","MORAWinter","MORA1","Low"
"22",1980,1,"NOCA","North Cascades NP","Pacific West ","WA",3775,3.31072648686718e-10,-0.250216970360019,5.68008362566985e-10,-0.167513170757758,3.05851538540125e-10,-0.30137841392799,"Winter","NOCAWinter","NOCA1","Low"
"23",1980,1,"OLYM","Olympic NP","Pacific West ","WA",41013,2.28912056514509e-09,0.0657139142159122,4.97726571069279e-09,-0.0629782996543048,2.19163531767208e-09,0.223843348541169,"Winter","OLYMWinter","OLYM1","Low"
"24",1980,1,"PEFO","Petrified Forest NP","Intermountain ","AZ",18616,6.2221914090644e-10,-0.203240505660151,1.76438197385664e-09,-0.139149491486259,4.76115868952576e-10,-0.25395700077636,"Winter","PEFOWinter","PEFO1","Low"
"25",1980,1,"PINN","Pinnacles NP","Pacific West ","CA",7908,1.0087382586938e-09,-0.140875674972584,1.81739501226019e-09,-0.137892655992483,9.89279325125381e-10,-0.11103254789454,"Winter","PINNWinter","PINN1","Low"
"26",1980,1,"REDW","Redwood NP","Pacific West ","CA",19593,4.40914615749921e-10,-0.232493977206406,9.37321775751343e-10,-0.158757471782643,4.34427049889052e-10,-0.265568021756655,"Winter","REDWWinter","REDW1","Low"
"27",1980,1,"ROMO","Rocky Mountain NP","Intermountain ","CO",42902,7.73978878299714e-10,-0.178754083405281,1.48075485206789e-09,-0.145873736019238,7.58411111689838e-10,-0.175333138079135,"Winter","ROMOWinter","ROMO1","Low"
"28",1980,1,"SAGU","Saguaro NP","Intermountain ","AZ",54158,1.36080152791257e-09,-0.0840702928692885,5.38566435892562e-09,-0.0532959661724567,9.61516311015487e-10,-0.118765003419725,"Winter","SAGUWinter","SAGU1","Shoulder"
"29",1980,1,"SEQU","Sequoia NP","Pacific West ","CA",14085,2.32586445846733e-10,-0.266107711807266,4.67594685193973e-10,-0.169893782727633,2.14075451809848e-10,-0.326939561795741,"Winter","SEQUWinter","SEQU1","Low"
"30",1980,1,"YELL","Yellowstone NP","Intermountain ","WY",24757,2.5573027656063e-10,-0.262373456456078,4.77447137381404e-10,-0.169660200348981,2.60824223330403e-10,-0.313919260930391,"Winter","YELLWinter","YELL1","Low"
"31",1980,1,"YOSE","Yosemite NP","Pacific West ","CA",66677,2.93125931233855e-10,-0.256339670377146,4.26361612682058e-10,-0.170871338261348,2.65829969148257e-10,-0.312525078484864,"Winter","YOSEWinter","YOSE1","Low"
"32",1980,1,"ZION","Zion NP","Intermountain ","UT",15637,3.75443415604005e-10,-0.243057750443253,9.81024594892688e-10,-0.157721363384992,3.23637561194801e-10,-0.296424714426817,"Winter","ZIONWinter","ZION1","Low"
"33",1980,10,"ARCH","Arches NP","Intermountain ","UT",16983,9.85550641097177e-10,-0.144616995334019,2.22074114653026e-09,-0.128330107738429,7.17949477646584e-10,-0.186602367870879,"Fall","ARCHFall","ARCH10","Shoulder"
"34",1980,10,"BIBE","Big Bend NP","Intermountain ","TX",10343,2.0627068744817e-09,0.029182082195801,4.15615097892896e-09,-0.082445324567823,1.92042093338785e-09,0.148305686961367,"Fall","BIBEFall","BIBE10","Shoulder"
"35",1980,10,"BLCA","Black Canyon of the Gunnison NP","Intermountain ","CO",20126,1.36866110111988e-09,-0.0828021513213196,3.99082944468887e-09,-0.0863647749214655,9.53481960053182e-10,-0.12100270215243,"Fall","BLCAFall","BLCA10","Shoulder"
"36",1980,10,"BRCA","Bryce Canyon NP","Intermountain ","UT",38174,7.53573161309027e-10,-0.182046544312435,2.48725084972534e-09,-0.122011683733724,4.88413809396349e-10,-0.250531822330084,"Fall","BRCAFall","BRCA10","Shoulder"
"37",1980,10,"CANY","Canyonlands NP","Intermountain ","UT",4807,9.36746342680974e-10,-0.152491565225866,2.1712895925674e-09,-0.12950250739924,6.9269090463564e-10,-0.193637295406617,"Fall","CANYFall","CANY10","Shoulder"
"38",1980,10,"CARE","Capitol Reef NP","Intermountain ","UT",18369,7.8425400850876e-10,-0.177096191916114,2.34868613446793e-09,-0.125296782222039,5.52775769602221e-10,-0.232605959063375,"Fall","CAREFall","CARE10","Shoulder"
"39",1980,10,"CAVE","Carlsbad Caverns NP","Intermountain ","NM",34480,1.48828344272201e-09,-0.0635010954688345,3.86689125164708e-09,-0.0893031071646324,1.2373327917814e-09,-0.0419455823657399,"Fall","CAVEFall","CAVE10","Shoulder"
"40",1980,10,"CHIS","Channel Islands NP","Pacific West ","CA",4612,3.54418699048451e-09,0.268218787884291,8.52633519343726e-09,0.0211631989301652,3.3755884754072e-09,0.553593753156912,"Fall","CHISFall","CHIS10","Shoulder"
"41",1980,10,"CRLA","Crater Lake NP","Pacific West ","OR",28026,1.83094422508716e-09,-0.00821280391470701,4.60158355863882e-09,-0.071884988976379,1.34699151832507e-09,-0.0114038255308701,"Fall","CRLAFall","CRLA10","Shoulder"
"42",1980,10,"DEVA","Death Valley NP","Pacific West ","CA",45699,1.25626873061985e-09,-0.100936651878326,2.77663336767375e-09,-0.115150990010282,1.04247299681504e-09,-0.096217236454164,"Fall","DEVAFall","DEVA10","Shoulder"
"43",1980,10,"GLAC","Glacier NP","Intermountain ","MT",78063,1.33190639252423e-09,-0.08873252079867,5.59778623454577e-09,-0.0482669712249061,7.46388728600778e-10,-0.17868156927522,"Fall","GLACFall","GLAC10","Shoulder"
"44",1980,10,"GRBA","Great Basin NP","Pacific West ","NV",2335,6.0359161754752e-10,-0.206246055158085,1.63907376560246e-09,-0.14212030411157,3.3140656885422e-10,-0.294260918163072,"Fall","GRBAFall","GRBA10","Shoulder"
"45",1980,10,"GRCA","Grand Canyon NP","Intermountain ","AZ",194043,1.19284391056441e-09,-0.11117024184094,2.72668421175126e-09,-0.116335186840685,1.00031360972253e-09,-0.107959318361105,"Fall","GRCAFall","GRCA10","Shoulder"
"46",1980,10,"GRSA","Great Sand Dunes NP & PRES","Intermountain ","CO",9368,1.73573047512038e-09,-0.0235755353361144,3.88576193444123e-09,-0.0888557201700041,1.32297017785277e-09,-0.0180941634791266,"Fall","GRSAFall","GRSA10","Shoulder"
"47",1980,10,"GRTE","Grand Teton NP","Intermountain ","WY",95773,1.94092096695817e-09,0.0095319351440451,6.08075412245057e-09,-0.0368167468621355,5.77760950193351e-10,-0.225647175807892,"Fall","GRTEFall","GRTE10","Shoulder"
"48",1980,10,"GUMO","Guadalupe Mountains NP","Intermountain ","TX",10743,1.44041927131431e-09,-0.0712239759383177,3.54565665716677e-09,-0.0969189513480622,1.19330445524923e-09,-0.0542081973950494,"Fall","GUMOFall","GUMO10","Shoulder"
"49",1980,10,"JOTR","Joshua Tree NP","Pacific West ","CA",31817,1.6140621411105e-09,-0.0432067119102544,3.73873731973617e-09,-0.092341386334117,1.52051327084735e-09,0.0369248331918391,"Fall","JOTRFall","JOTR10","Shoulder"
"50",1980,10,"KICA","Kings Canyon NP","Pacific West ","CA",66108,8.53137124565766e-10,-0.165981906302717,1.99627803176838e-09,-0.133651689337445,7.0458566758802e-10,-0.190324408515163,"Fall","KICAFall","KICA10","Shoulder"
"51",1980,10,"LAVO","Lassen Volcanic NP","Pacific West ","CA",21550,1.43557571027818e-09,-0.0720054841484997,3.1036633263426e-09,-0.107397749072566,9.08199182525493e-10,-0.133614699607164,"Fall","LAVOFall","LAVO10","Shoulder"
"52",1980,10,"MEVE","Mesa Verde NP","Intermountain ","CO",30755,1.72616884674959e-09,-0.0251183033571514,3.83791576297199e-09,-0.0899900593506048,1.4739833797961e-09,0.0239654941329971,"Fall","MEVEFall","MEVE10","Shoulder"
"53",1980,10,"MORA","Mount Rainier NP","Pacific West ","WA",119194,1.86827092864317e-09,-0.00219014309337034,4.81389017537026e-09,-0.0668516141782705,1.36632127833991e-09,-0.00602016981410848,"Fall","MORAFall","MORA10","Shoulder"
"54",1980,10,"NOCA","North Cascades NP","Pacific West ","WA",94776,1.13486539520652e-09,-0.120525070948773,3.87921739175567e-09,-0.0890108784817223,7.18601622651249e-10,-0.186420734773529,"Fall","NOCAFall","NOCA10","Shoulder"
"55",1980,10,"OLYM","Olympic NP","Pacific West ","WA",106248,3.86803866714303e-09,0.32047223164229,6.61235111110159e-09,-0.0242136215963266,3.74396291746848e-09,0.656192086989796,"Fall","OLYMFall","OLYM10","Shoulder"
"56",1980,10,"PEFO","Petrified Forest NP","Intermountain ","AZ",46449,1.99474797969768e-09,0.0182169196155346,4.17913881278764e-09,-0.0819003279709729,1.65634583826346e-09,0.074756434698052,"Fall","PEFOFall","PEFO10","Shoulder"
"57",1980,10,"PINN","Pinnacles NP","Pacific West ","CA",11795,1.66085443785032e-09,-0.0356567783381027,2.81871526119915e-09,-0.114153310589883,1.7687037390246e-09,0.106049955894986,"Fall","PINNFall","PINN10","Shoulder"
"58",1980,10,"REDW","Redwood NP","Pacific West ","CA",35561,1.87977689238767e-09,-0.000333656705502213,5.37850430859521e-09,-0.0534657169670438,1.37672040434467e-09,-0.0031238423831487,"Fall","REDWFall","REDW10","Shoulder"
"59",1980,10,"ROMO","Rocky Mountain NP","Intermountain ","CO",219495,1.62576888510763e-09,-0.0413178296436718,2.87268830945209e-09,-0.112873715139511,1.67193370259611e-09,0.0790979109948166,"Fall","ROMOFall","ROMO10","Shoulder"
"60",1980,10,"SAGU","Saguaro NP","Intermountain ","AZ",40113,1.89995822121797e-09,0.00292259918879016,4.16618162191185e-09,-0.0822075176337943,1.46987599869419e-09,0.0228215210193506,"Fall","SAGUFall","SAGU10","Shoulder"
"61",1980,10,"SEQU","Sequoia NP","Pacific West ","CA",59511,9.09703032437476e-10,-0.156855001306912,2.11678297112883e-09,-0.130794752826645,7.21208148757313e-10,-0.18569477443253,"Fall","SEQUFall","SEQU10","Shoulder"
"62",1980,10,"YELL","Yellowstone NP","Intermountain ","WY",93240,1.92587486683966e-09,0.0071042480175437,6.54987930559514e-09,-0.0256947059651019,5.67395797013148e-10,-0.228534041249102,"Fall","YELLFall","YELL10","Shoulder"
"63",1980,10,"YOSE","Yosemite NP","Pacific West ","CA",238586,1.27621645240964e-09,-0.0977180884625128,3.0556164265505e-09,-0.108536847129254,9.07302843966562e-10,-0.133864344621031,"Fall","YOSEFall","YOSE10","Shoulder"
"64",1980,10,"ZION","Zion NP","Intermountain ","UT",75312,8.44574364745574e-10,-0.167363506957974,2.51885956537024e-09,-0.121262302884569,5.97368432497802e-10,-0.220186169871004,"Fall","ZIONFall","ZION10","Shoulder"
"65",1980,11,"ARCH","Arches NP","Intermountain ","UT",7481,9.32368139683695e-10,-0.153197987951356,8.1312938604583e-09,0.0117975412778522,4.69724870111321e-10,-0.25573699894608,"Fall","ARCHFall","ARCH11","Shoulder"
"66",1980,11,"BIBE","Big Bend NP","Intermountain ","TX",9999,2.57325528627275e-09,0.111559030175568,6.99661439895749e-09,-0.0151034903215259,1.77338566054175e-09,0.107353947952926,"Fall","BIBEFall","BIBE11","Shoulder"
"67",1980,11,"BLCA","Black Canyon of the Gunnison NP","Intermountain ","CO",6596,9.32778092221562e-10,-0.153131842140095,8.16724110563882e-09,0.0126497801799582,4.5192419251272e-10,-0.260694780089889,"Fall","BLCAFall","BLCA11","Shoulder"
"68",1980,11,"BRCA","Bryce Canyon NP","Intermountain ","UT",10662,7.19635849566827e-10,-0.187522327018629,4.63418770024759e-09,-0.0711120085237955,2.98440605561723e-10,-0.303442480510559,"Fall","BRCAFall","BRCA11","Shoulder"
"69",1980,11,"CANY","Canyonlands NP","Intermountain ","UT",2005,8.71620204327818e-10,-0.162999662768312,7.73087727168331e-09,0.00230444681987735,4.44437958657673e-10,-0.26277981920366,"Fall","CANYFall","CANY11","Shoulder"
"70",1980,11,"CARE","Capitol Reef NP","Intermountain ","UT",6421,6.47462284951036e-10,-0.199167526260386,4.1338310552419e-09,-0.0829744863203474,3.72624403555122e-10,-0.282781074065179,"Fall","CAREFall","CARE11","Shoulder"
"71",1980,11,"CAVE","Carlsbad Caverns NP","Intermountain ","NM",24587,1.55752806530266e-09,-0.0523284808049398,4.16303791439532e-09,-0.0822820487926905,1.38506139890637e-09,-0.000800738370419106,"Fall","CAVEFall","CAVE11","Shoulder"
"72",1980,11,"CHIS","Channel Islands NP","Pacific West ","CA",4919,3.35680656031591e-09,0.237984969519692,6.53952403339986e-09,-0.0259402092230677,3.40282491073651e-09,0.561179547840978,"Fall","CHISFall","CHIS11","Shoulder"
"73",1980,11,"CRLA","Crater Lake NP","Pacific West ","OR",9564,4.82962865488631e-10,-0.225709495262343,2.20093698821699e-09,-0.12879962561256,3.57536944495251e-10,-0.286983179272731,"Fall","CRLAFall","CRLA11","Shoulder"
"74",1980,11,"DEVA","Death Valley NP","Pacific West ","CA",58740,9.28550672731827e-10,-0.153813935957942,1.94070204351249e-09,-0.134969287361349,7.95591592606115e-10,-0.164977763336604,"Fall","DEVAFall","DEVA11","Shoulder"
"75",1980,11,"GLAC","Glacier NP","Intermountain ","MT",22503,6.39265492244088e-10,-0.200490078149349,1.18903669132919e-08,0.100917813927271,2.41927811117648e-10,-0.31918222216516,"Fall","GLACFall","GLAC11","Shoulder"
"76",1980,11,"GRBA","Great Basin NP","Pacific West ","NV",755,4.54889900836803e-10,-0.230239066005006,3.28621974077237e-09,-0.103069693405859,2.60075960767381e-10,-0.314127664346779,"Fall","GRBAFall","GRBA11","Shoulder"
"77",1980,11,"GRCA","Grand Canyon NP","Intermountain ","AZ",119440,9.46721065341721e-10,-0.150882144472104,3.8926537548889e-09,-0.0886923285815155,5.40985534147609e-10,-0.235889733329504,"Fall","GRCAFall","GRCA11","Shoulder"
"78",1980,11,"GRSA","Great Sand Dunes NP & PRES","Intermountain ","CO",3450,1.07260799435897e-09,-0.130570297909685,5.36030553277556e-09,-0.0538971743609645,7.81106290759226e-10,-0.169012157867998,"Fall","GRSAFall","GRSA11","Shoulder"
"79",1980,11,"GRTE","Grand Teton NP","Intermountain ","WY",43950,3.84789146334527e-10,-0.241549817490293,1.98007188423333e-09,-0.134035905410562,2.80436118771377e-10,-0.308457025862482,"Fall","GRTEFall","GRTE11","Shoulder"
