"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM"
"1","ACAD","1980","01","Acadia NP",8966,2.69146926967778e-10,-0.437670512486623,"Winter","ACADWinter","ACAD01"
"2","ACAD","1980","02","Acadia NP",8225,2.27843452438314e-10,-0.455195137099843,"Winter","ACADWinter","ACAD02"
"3","ACAD","1980","03","Acadia NP",7505,3.60712015812226e-10,-0.396286725531343,"Spring","ACADSpring","ACAD03"
"4","ACAD","1980","04","Acadia NP",182879,6.71082300840453e-10,-0.270462328787808,"Spring","ACADSpring","ACAD04"
"5","ACAD","1980","05","Acadia NP",209301,6.38003039288293e-10,-0.287643178679607,"Spring","ACADSpring","ACAD05"
"6","ACAD","1980","06","Acadia NP",359552,7.31185390012712e-10,-0.253598795871036,"Summer","ACADSummer","ACAD06"
"7","ACAD","1980","07","Acadia NP",533885,3.0562702368897e-10,-0.414821611500951,"Summer","ACADSummer","ACAD07"
"8","ACAD","1980","08","Acadia NP",633067,3.51916579210965e-10,-0.386558996951063,"Summer","ACADSummer","ACAD08"
"9","ACAD","1980","09","Acadia NP",282636,2.38947528430344e-10,-0.443491865625484,"Fall","ACADFall","ACAD09"
"10","ACAD","1980","10","Acadia NP",332937,2.58200905101091e-10,-0.439216225615517,"Fall","ACADFall","ACAD10"
"11","ACAD","1980","11","Acadia NP",200461,3.27132598787472e-10,-0.411423471164631,"Fall","ACADFall","ACAD11"
"12","ACAD","1980","12","Acadia NP",20252,3.70909442048983e-10,-0.391541522391466,"Winter","ACADWinter","ACAD12"
"13","ACAD","1981","01","Acadia NP",23330,2.58326277036147e-10,-0.440978825171814,"Winter","ACADWinter","ACAD01"
"14","ACAD","1981","02","Acadia NP",16207,3.00799912755778e-10,-0.426088541887795,"Winter","ACADWinter","ACAD02"
"15","ACAD","1981","03","Acadia NP",21923,5.70495650720204e-10,-0.318924473058416,"Spring","ACADSpring","ACAD03"
"16","ACAD","1981","04","Acadia NP",188071,5.82694947848239e-10,-0.314428404989643,"Spring","ACADSpring","ACAD04"
"17","ACAD","1981","05","Acadia NP",212500,6.45351438954833e-10,-0.288736596881392,"Spring","ACADSpring","ACAD05"
"18","ACAD","1981","06","Acadia NP",366518,4.7609349795863e-10,-0.341763442077763,"Summer","ACADSummer","ACAD06"
"19","ACAD","1981","07","Acadia NP",545981,1.76995362810572e-10,-0.47343987876641,"Summer","ACADSummer","ACAD07"
"20","ACAD","1981","08","Acadia NP",616233,1.23083210290531e-10,-0.494928595314167,"Summer","ACADSummer","ACAD08"
"21","ACAD","1981","09","Acadia NP",463823,2.23790666553647e-10,-0.450842565596572,"Fall","ACADFall","ACAD09"
"22","ACAD","1981","10","Acadia NP",313788,2.99059998987161e-10,-0.419173352590648,"Fall","ACADFall","ACAD10"
"23","ACAD","1981","11","Acadia NP",203741,2.25884477789151e-10,-0.451040753969987,"Fall","ACADFall","ACAD11"
"24","ACAD","1981","12","Acadia NP",25857,2.0289336877255e-10,-0.457905469520222,"Winter","ACADWinter","ACAD12"
"25","ACAD","1982","01","Acadia NP",21425,3.31701138778229e-10,-0.406464087315752,"Winter","ACADWinter","ACAD01"
