"","Park","slopeSmokePark","slopeSmokeOverall","MedSmoke","MedSmokeAll"
"1","ACAD",-0.336568264275055,-1.6350065524028,-0.298576472897386,-0.31301292766581
"2","ARCH",-0.0380469922309077,-0.0660700385070362,0.106680653878684,-0.0129758613234574
"3","BADL",-0.260315341338144,-0.477801724541479,-0.0130195476687229,-0.0599788925039319
"4","BIBE",0.0312591677088809,0.0409518561059967,0.382807448142861,0.0856925929945322
"5","BISC",0.276415767394732,0.253073041195297,0.661998278028869,-0.254453079950708
"6","BLCA",-0.16461090651535,-0.335675233568822,-0.0168134191972573,-0.133470875607925
"7","BRCA",-0.0161580444925097,-0.0249935614856425,0.262262740039908,0.0659612634684093
"8","CANY",0.539034887720785,0.956520143414669,0.350744330026605,0.00694700246888858
"9","CARE",0.0337997362176255,0.0602425666556332,0.216113619113061,0.0664599798653435
"10","CAVE",-0.201366997258711,-0.264449563202167,0.365168417410159,0.250259392025728
"11","CHIS",0.433809909729765,1.0060613860994,-0.0712736149968627,-0.0246099980434219
"12","CONG",0.574980967750468,0.986380975338185,-0.0715231734444371,-0.247036573910338
"13","CRLA",-0.360130631313747,-1.13384794461958,-0.239454317678812,-0.191769462317618
"14","CUVA",0.302741979187485,0.7365298202598,-0.108353309671353,-0.193356244254419
"15","DENA",-0.184624040563851,-0.944616750869155,-0.356330366015091,-0.345723963783922
"16","DEVA",-0.0027771486789575,-0.000153061361900751,1.4174722221273,0.920458423203457
"17","DRTO",1.05499020855983,0.893769514221675,-0.145892680176805,-0.25092646889084
"18","EVER",1.16966869946696,1.05217449770402,-0.378716534127074,-0.24239876453372
"19","GAAR",-0.362300774140039,-1.6885268610695,-0.345789461261962,-0.327800347029783
"20","GLAC",-0.688223406049967,-2.37898635137018,-0.256216033042213,-0.265500206437316
"21","GLBA",-0.388689774389766,-1.77836093934372,-0.355423990495328,-0.330410922552947
"22","GRBA",0.223899609123875,0.332941165273639,0.16152417452959,0.0677943918571023
"23","GRCA",0.146586338167977,0.163153706874645,0.814533886409997,0.329851972195852
"24","GRSA",0.0409798670704155,0.0867057429292475,-0.0794733193260673,-0.16596685219468
"25","GRSM",-0.00164036503430345,-0.00783023487671243,-0.102299731095631,-0.242767623389504
"26","GRTE",-0.199686800680153,-0.42914409117778,-0.0726164374511323,-0.0980110199928816
"27","GUMO",-0.131797321673725,-0.18482546282261,0.60402266909948,0.147250289996499
"28","HALE",0.0865284043822434,0.316602173291102,-0.375291825832967,-0.380223753088533
"29","HAVO",-0.35147975066048,-1.84637637988733,-0.382132783898885,-0.387966589079263
"30","HOSP",0.00908990907621638,0.0119014876904554,-0.0602569664243989,-0.207470810597684
"31","INDU",0.0178108943617368,0.0363939222811709,-0.0963154547309897,-0.176465688615334
"32","ISRO",-0.654215981029651,-2.7093382423457,-0.297297457818691,-0.287908233741859
"33","JEFF",-0.0175485513315034,-0.0372162581929779,-0.0772606788290774,-0.18715738895628
"34","JOTR",-0.0943889946097728,-0.0538671897397875,2.36975060447524,2.32126648283684
"35","KATM",-0.656739368294618,-3.10523553989512,-0.35628189371616,-0.339799906330851
"36","KEFJ",-0.444512321997454,-2.08560908614833,-0.360662234805462,-0.331727304115078
"37","KICA",-0.426920507197397,-0.679408295359375,0.0179441227484015,0.00458713882815686
"38","KOVA",-0.526306420629111,-2.68070664236446,-0.345108365987995,-0.330171024122312
"39","LACL",-0.578645949691437,-2.72021979716986,-0.355246273417515,-0.340288470098041
"40","LAVO",-0.0586729082706673,-0.133456958672493,-0.0236439322697351,-0.0216573810249335
"41","MACA",-0.334780875114228,-0.649436400057532,-0.0975876293001775,-0.205238449568601
"42","MEVE",-0.17371172593851,-0.319434620169585,0.058972185142747,-0.0458278007234821
"43","MORA",-0.4580061657422,-2.10420010322349,-0.313182867068292,-0.300184088751319
"44","NOCA",-0.027457767178972,-0.11830500190254,-0.315133677852408,-0.30215391519067
"45","OLYM",-0.621736040894499,-2.8791060534404,-0.33412312448553,-0.293797928448105
"46","PEFO",0.0355877471573788,0.0543965164401502,0.231055919146644,0.03489255037952
"47","PINN",0.159801722515288,0.305806231691465,0.0423651261699545,0.000815695199648763
"48","REDW",-0.189946333670619,-0.416133286393708,-0.101815993331928,-0.0504336423325987
"49","ROMO",-0.283093207812205,-0.654826837250458,-0.0897306553232263,-0.167632332030681
"50","SAGU",-0.347861932982427,-0.402067946751704,1.01206883340321,0.406858967931414
"51","SEQU",-0.191271789481904,-0.308142638230121,-0.00293737357076587,-0.00328657597417035
"52","SHEN",-0.252519187052299,-0.61249601680354,-0.112420513221491,-0.228953174388443
"53","THRO",-0.325070058911331,-0.684674296999934,-0.114527582389071,0.0197761457620233
"54","VIIS",-0.200201821319025,-0.134964736677665,-0.0195729159765944,-0.0425116915252878
"55","VOYA",0.031392774770416,0.106844714834678,-0.263724189094046,-0.273994084715219
"56","WICA",-0.176618449053725,-0.332913274097875,-0.044680373338225,-0.0950955531887932
"57","WRST",-0.743452622120769,-3.25354514519411,-0.353744236902955,-0.322052925309345
"58","YELL",-0.188800759868527,-0.409242902894102,-0.0914015338751602,-0.109518807536058
"59","YOSE",-0.0145872434432531,-0.0230698000893022,0.00901262808120812,0.0265739461403202
"60","ZION",0.0782280387542664,0.108590492974197,0.491103318845924,0.199141337808274
