"","X1","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM"
"1",1,"ACAD",1980,"01","Acadia NP",8966,2.72375733079144e-10,-0.378820118985337,"Winter","ACADWinter","ACAD01"
"2",11,"ACAD",1980,"11","Acadia NP",200461,3.38610056660471e-10,-0.359705596759748,"Fall","ACADFall","ACAD11"
"3",21,"ACAD",1981,"09","Acadia NP",463823,2.39136099811077e-10,-0.388412724065583,"Fall","ACADFall","ACAD09"
"4",31,"ACAD",1982,"07","Acadia NP",737860,4.57887616711616e-10,-0.325283359929441,"Summer","ACADSummer","ACAD07"
"5",41,"ACAD",1983,"05","Acadia NP",287861,8.14072254051723e-10,-0.222492257088465,"Spring","ACADSpring","ACAD05"
"6",51,"ACAD",1984,"03","Acadia NP",37289,3.73774095008272e-10,-0.349557628815074,"Spring","ACADSpring","ACAD03"
"7",61,"ACAD",1985,"01","Acadia NP",31360,3.0338606626934e-10,-0.3698708662273,"Winter","ACADWinter","ACAD01"
"8",71,"ACAD",1985,"11","Acadia NP",206970,4.4424622314132e-10,-0.329220121211034,"Fall","ACADFall","ACAD11"
"9",81,"ACAD",1986,"09","Acadia NP",488247,3.83049175711747e-10,-0.346880939046618,"Fall","ACADFall","ACAD09"
"10",91,"ACAD",1987,"07","Acadia NP",751309,3.14795994826866e-10,-0.366578082045131,"Summer","ACADSummer","ACAD07"
"11",101,"ACAD",1988,"05","Acadia NP",448299,7.06583902498892e-10,-0.253512253574512,"Spring","ACADSpring","ACAD05"
"12",111,"ACAD",1989,"03","Acadia NP",74773,8.0635359500647e-10,-0.224719780099114,"Spring","ACADSpring","ACAD03"
"13",121,"ACAD",1990,"01","Acadia NP",16084,2.93284396768456e-10,-0.372786100742424,"Winter","ACADWinter","ACAD01"
"14",131,"ACAD",1990,"11","Acadia NP",47633,5.01028107890988e-10,-0.312833472425745,"Fall","ACADFall","ACAD11"
"15",141,"ACAD",1991,"09","Acadia NP",377904,2.27453930690125e-10,-0.391784073982538,"Fall","ACADFall","ACAD09"
"16",151,"ACAD",1992,"07","Acadia NP",539109,2.32270883082641e-10,-0.390393952689108,"Summer","ACADSummer","ACAD07"
"17",161,"ACAD",1993,"05","Acadia NP",192823,6.19326867568049e-10,-0.278693706986301,"Spring","ACADSpring","ACAD05"
"18",171,"ACAD",1994,"03","Acadia NP",29086,6.42399189398901e-10,-0.272035279986737,"Spring","ACADSpring","ACAD03"
"19",181,"ACAD",1995,"01","Acadia NP",14894,1.82955595118273e-10,-0.404625820954491,"Winter","ACADWinter","ACAD01"
"20",191,"ACAD",1995,"11","Acadia NP",54121,5.56802770557141e-10,-0.296737497234758,"Fall","ACADFall","ACAD11"
