"","Park","Year","SingleVisitorFee","Source","UnitCode"
"1","Acadia NP",1980,1.66225,"Predicted","ACAD"
"2","Acadia NP",1981,1.74366666666667,"Predicted","ACAD"
"3","Acadia NP",1982,1.80733333333333,"Predicted","ACAD"
"4","Acadia NP",1983,1.908,"Predicted","ACAD"
"5","Acadia NP",1984,1.9695,"Predicted","ACAD"
"6","Acadia NP",1985,2.07475,"Predicted","ACAD"
"7","Acadia NP",1986,2.14083333333333,"Predicted","ACAD"
"8","Acadia NP",1987,2.23841666666667,"Predicted","ACAD"
"9","Acadia NP",1988,2.30816666666667,"Predicted","ACAD"
"10","Acadia NP",1989,2.45516666666667,"Predicted","ACAD"
"11","Acadia NP",1990,2.52891666666667,"Predicted","ACAD"
"12","Acadia NP",1991,2.65708333333333,"Predicted","ACAD"
"13","Acadia NP",1992,2.743,"Predicted","ACAD"
"14","Acadia NP",1993,2.90166666666667,"Predicted","ACAD"
"15","Acadia NP",1994,3.0035,"Predicted","ACAD"
"16","Acadia NP",1995,3.14483333333333,"Predicted","ACAD"
"17","Acadia NP",1996,3.25983333333333,"Predicted","ACAD"
"18","Acadia NP",1997,3,"Observed","ACAD"
"19","Acadia NP",1998,3,"Observed","ACAD"
"20","Acadia NP",1999,5,"Observed","ACAD"
"21","Acadia NP",2000,5,"Observed","ACAD"
"22","Acadia NP",2001,5,"Observed","ACAD"
"23","Acadia NP",2002,5,"Observed","ACAD"
"24","Acadia NP",2003,5,"Observed","ACAD"
"25","Acadia NP",2004,5,"Observed","ACAD"
"26","Acadia NP",2005,5,"Observed","ACAD"
"27","Acadia NP",2006,5,"Observed","ACAD"
"28","Acadia NP",2007,5,"Observed","ACAD"
"29","Acadia NP",2008,5,"Observed","ACAD"
"30","Acadia NP",2009,5,"Observed","ACAD"
"31","Acadia NP",2010,5,"Observed","ACAD"
"32","Acadia NP",2011,5,"Observed","ACAD"
"33","Acadia NP",2012,5,"Observed","ACAD"
"34","Acadia NP",2013,5,"Observed","ACAD"
"35","Acadia NP",2014,5,"Observed","ACAD"
"36","Acadia NP",2015,12,"Observed","ACAD"
"37","Acadia NP",2016,12,"Observed","ACAD"
"38","Acadia NP",2017,12,"Observed","ACAD"
"39","Acadia NP",2018,15,"Observed","ACAD"
"40","Arches NP",1980,1.81716666666667,"Predicted","ARCH"
"41","Arches NP",1981,1.881,"Predicted","ARCH"
"42","Arches NP",1982,1.97425,"Predicted","ARCH"
"43","Arches NP",1983,2.05191666666667,"Predicted","ARCH"
"44","Arches NP",1984,2.14475,"Predicted","ARCH"
"45","Arches NP",1985,2.22141666666667,"Predicted","ARCH"
"46","Arches NP",1986,2.36108333333333,"Predicted","ARCH"
"47","Arches NP",1987,2.41875,"Predicted","ARCH"
"48","Arches NP",1988,2.51925,"Predicted","ARCH"
"49","Arches NP",1989,2.63775,"Predicted","ARCH"
"50","Arches NP",1990,2.74466666666667,"Predicted","ARCH"
"51","Arches NP",1991,2.86775,"Predicted","ARCH"
"52","Arches NP",1992,2.9975,"Predicted","ARCH"
"53","Arches NP",1993,3.119,"Predicted","ARCH"
"54","Arches NP",1994,3.26541666666667,"Predicted","ARCH"
"55","Arches NP",1995,3.40191666666667,"Predicted","ARCH"
"56","Arches NP",1996,3.51191666666667,"Predicted","ARCH"
"57","Arches NP",1997,5,"Observed","ARCH"
"58","Arches NP",1998,5,"Observed","ARCH"
"59","Arches NP",1999,5,"Observed","ARCH"
"60","Arches NP",2000,5,"Observed","ARCH"
"61","Arches NP",2001,5,"Observed","ARCH"
"62","Arches NP",2002,5,"Observed","ARCH"
"63","Arches NP",2003,5,"Observed","ARCH"
"64","Arches NP",2004,5,"Observed","ARCH"
"65","Arches NP",2005,5,"Observed","ARCH"
"66","Arches NP",2006,5,"Observed","ARCH"
"67","Arches NP",2007,5,"Observed","ARCH"
"68","Arches NP",2008,5,"Observed","ARCH"
"69","Arches NP",2009,5,"Observed","ARCH"
"70","Arches NP",2010,5,"Observed","ARCH"
"71","Arches NP",2011,5,"Observed","ARCH"
"72","Arches NP",2012,5,"Observed","ARCH"
"73","Arches NP",2013,5,"Observed","ARCH"
"74","Arches NP",2014,5,"Observed","ARCH"
"75","Arches NP",2015,5,"Observed","ARCH"
"76","Arches NP",2016,10,"Observed","ARCH"
"77","Arches NP",2017,10,"Observed","ARCH"
"78","Arches NP",2018,15,"Observed","ARCH"
"79","Badlands NP",1980,1.982,"Predicted","BADL"
"80","Badlands NP",1981,2.07608333333333,"Predicted","BADL"
"81","Badlands NP",1982,2.14341666666667,"Predicted","BADL"
"82","Badlands NP",1983,2.25708333333333,"Predicted","BADL"
"83","Badlands NP",1984,2.3545,"Predicted","BADL"
"84","Badlands NP",1985,2.43308333333333,"Predicted","BADL"
"85","Badlands NP",1986,2.53916666666667,"Predicted","BADL"
"86","Badlands NP",1987,2.64216666666667,"Predicted","BADL"
"87","Badlands NP",1988,2.79058333333333,"Predicted","BADL"
"88","Badlands NP",1989,2.89508333333333,"Predicted","BADL"
"89","Badlands NP",1990,2.98875,"Predicted","BADL"
"90","Badlands NP",1991,3.13641666666667,"Predicted","BADL"
"91","Badlands NP",1992,3.26066666666667,"Predicted","BADL"
"92","Badlands NP",1993,3.40891666666667,"Predicted","BADL"
"93","Badlands NP",1994,3.58975,"Predicted","BADL"
"94","Badlands NP",1995,3.70625,"Predicted","BADL"
"95","Badlands NP",1996,3.87033333333333,"Predicted","BADL"
"96","Badlands NP",1997,5,"Observed","BADL"
"97","Badlands NP",1998,5,"Observed","BADL"
"98","Badlands NP",1999,5,"Observed","BADL"
"99","Badlands NP",2000,5,"Observed","BADL"
"100","Badlands NP",2001,5,"Observed","BADL"
"101","Badlands NP",2002,5,"Observed","BADL"
"102","Badlands NP",2003,5,"Observed","BADL"
"103","Badlands NP",2004,5,"Observed","BADL"
"104","Badlands NP",2005,5,"Observed","BADL"
"105","Badlands NP",2006,7,"Observed","BADL"
"106","Badlands NP",2007,7,"Observed","BADL"
"107","Badlands NP",2008,7,"Observed","BADL"
"108","Badlands NP",2009,7,"Observed","BADL"
"109","Badlands NP",2010,7,"Observed","BADL"
"110","Badlands NP",2011,7,"Observed","BADL"
"111","Badlands NP",2012,7,"Observed","BADL"
"112","Badlands NP",2013,7,"Observed","BADL"
"113","Badlands NP",2014,7,"Observed","BADL"
"114","Badlands NP",2015,7,"Observed","BADL"
"115","Badlands NP",2016,7,"Observed","BADL"
"116","Badlands NP",2017,10,"Observed","BADL"
"117","Badlands NP",2018,10,"Observed","BADL"
"118","Big Bend NP",1980,2.50841666666667,"Predicted","BIBE"
"119","Big Bend NP",1981,2.60583333333333,"Predicted","BIBE"
"120","Big Bend NP",1982,2.72258333333333,"Predicted","BIBE"
