,UnitCode,Region,State
,ACAD,Northeast,ME
,ARCH,Intermountain,UT
,BADL,Midwest,SD
,BIBE,Intermountain,TX
,BISC,Southeast,FL
,BLCA,Intermountain,CO
,BRCA,Intermountain,UT
,CANY,Intermountain,UT
,CARE,Intermountain,UT
,CAVE,Intermountain,NM
,CHIS,Pacific West,CA
,CONG,Southeast,SC
,CRLA,Pacific West,OR
,CUVA,Midwest,OH
,DEVA,Pacific West,CA
,DENA,Alaska,AK
,DRTO,Southeast,FL
,EVER,Southeast,FL
,GAAR,Alaska,AK
,JEFF,Midwest,MO
,GLBA,Alaska,AK
,GLAC,Intermountain,MT
,GRCA,Intermountain,AZ
,GRTE,Intermountain,WY
,GRBA,Pacific West,NV
,GRSA,Intermountain,CO
,GRSM,Southeast,TN
,GUMO,Intermountain,TX
,HALE,Pacific West,HI
,HAVO,Pacific West,HI
,HOSP,Midwest,AR
,INDU,Midwest,IN
,ISRO,Midwest,MI
,JOTR,Pacific West,CA
,KATM,Alaska,AK
,KEFJ,Alaska,AK
,KICA,Pacific West,CA
,KOVA,Alaska,AK
,LACL,Alaska,AK
,LAVO,Pacific West,CA
,MACA,Southeast,KY
,MEVE,Intermountain,CO
,MORA,Pacific West,WA
,NPSA,Pacific West,AS
,NOCA,Pacific West,WA
,OLYM,Pacific West,WA
,PEFO,Intermountain,AZ
,PINN,Pacific West,CA
,REDW,Pacific West,CA
,ROMO,Intermountain,CO
,SAGU,Intermountain,AZ
,SEQU,Pacific West,CA
,SHEN,Northeast,VA
,THRO,Midwest,ND
,VIIS,Southeast,VI
,VOYA,Midwest,MN
,WHSA,Intermountain,NM
,WICA,Midwest,SD
,WRST,Alaska,AK
,YELL,Intermountain,WY
,YOSE,Pacific West,CA
,ZION,Intermountain,UT
