ParkName,UnitCode,Region,State,Year,Month,RecreationVisits
Arches NP,ARCH,Intermountain ,UT,1979,1,"2,970"
Arches NP,ARCH,Intermountain ,UT,1979,2,"3,135"
Arches NP,ARCH,Intermountain ,UT,1979,3,"14,659"
Arches NP,ARCH,Intermountain ,UT,1979,4,"31,818"
Arches NP,ARCH,Intermountain ,UT,1979,5,"39,266"
Arches NP,ARCH,Intermountain ,UT,1979,6,"43,503"
Arches NP,ARCH,Intermountain ,UT,1979,7,"36,524"
Arches NP,ARCH,Intermountain ,UT,1979,8,"43,309"
Arches NP,ARCH,Intermountain ,UT,1979,9,"30,813"
Arches NP,ARCH,Intermountain ,UT,1979,10,"15,273"
Arches NP,ARCH,Intermountain ,UT,1979,11,"5,492"
Arches NP,ARCH,Intermountain ,UT,1979,12,"3,078"
Arches NP,ARCH,Intermountain ,UT,1980,1,"3,599"
Arches NP,ARCH,Intermountain ,UT,1980,2,"4,687"
Arches NP,ARCH,Intermountain ,UT,1980,3,"15,915"
Arches NP,ARCH,Intermountain ,UT,1980,4,"27,050"
Arches NP,ARCH,Intermountain ,UT,1980,5,"39,099"
Arches NP,ARCH,Intermountain ,UT,1980,6,"47,171"
Arches NP,ARCH,Intermountain ,UT,1980,7,"43,685"
Arches NP,ARCH,Intermountain ,UT,1980,8,"47,837"
Arches NP,ARCH,Intermountain ,UT,1980,9,"31,387"
Arches NP,ARCH,Intermountain ,UT,1980,10,"16,983"
Arches NP,ARCH,Intermountain ,UT,1980,11,"7,481"
Arches NP,ARCH,Intermountain ,UT,1980,12,"5,625"
Arches NP,ARCH,Intermountain ,UT,1981,1,"7,144"
Arches NP,ARCH,Intermountain ,UT,1981,2,"6,275"
Arches NP,ARCH,Intermountain ,UT,1981,3,"17,024"
Arches NP,ARCH,Intermountain ,UT,1981,4,"30,543"
Arches NP,ARCH,Intermountain ,UT,1981,5,"41,614"
Arches NP,ARCH,Intermountain ,UT,1981,6,"51,670"
Arches NP,ARCH,Intermountain ,UT,1981,7,"48,711"
Arches NP,ARCH,Intermountain ,UT,1981,8,"52,953"
Arches NP,ARCH,Intermountain ,UT,1981,9,"35,795"
