"","ParkName","UnitCode","Year","Month","RecreationVisits"
"1","Acadia NP","ACAD",1979,1,6011
"2","Acadia NP","ACAD",1979,2,5243
"3","Acadia NP","ACAD",1979,3,11165
"4","Acadia NP","ACAD",1979,4,219351
"5","Acadia NP","ACAD",1979,5,339416
"6","Acadia NP","ACAD",1979,6,543205
"7","Acadia NP","ACAD",1979,7,383341
"8","Acadia NP","ACAD",1979,8,466928
"9","Acadia NP","ACAD",1979,9,320138
"10","Acadia NP","ACAD",1979,10,300976
"11","Acadia NP","ACAD",1979,11,183750
"12","Acadia NP","ACAD",1979,12,7842
"13","Acadia NP","ACAD",1980,1,8966
"14","Acadia NP","ACAD",1980,2,8225
"15","Acadia NP","ACAD",1980,3,7505
"16","Acadia NP","ACAD",1980,4,182879
"17","Acadia NP","ACAD",1980,5,209301
"18","Acadia NP","ACAD",1980,6,359552
"19","Acadia NP","ACAD",1980,7,533885
"20","Acadia NP","ACAD",1980,8,633067
"21","Acadia NP","ACAD",1980,9,282636
"22","Acadia NP","ACAD",1980,10,332937
"23","Acadia NP","ACAD",1980,11,200461
"24","Acadia NP","ACAD",1980,12,20252
"25","Acadia NP","ACAD",1981,1,23330
"26","Acadia NP","ACAD",1981,2,16207
"27","Acadia NP","ACAD",1981,3,21923
"28","Acadia NP","ACAD",1981,4,188071
"29","Acadia NP","ACAD",1981,5,212500
"30","Acadia NP","ACAD",1981,6,366518
"31","Acadia NP","ACAD",1981,7,545981
"32","Acadia NP","ACAD",1981,8,616233
"33","Acadia NP","ACAD",1981,9,463823
"34","Acadia NP","ACAD",1981,10,313788
"35","Acadia NP","ACAD",1981,11,203741
"36","Acadia NP","ACAD",1981,12,25857
"37","Acadia NP","ACAD",1982,1,21425
"38","Acadia NP","ACAD",1982,2,22210
"39","Acadia NP","ACAD",1982,3,36866
"40","Acadia NP","ACAD",1982,4,193208
"41","Acadia NP","ACAD",1982,5,261452
"42","Acadia NP","ACAD",1982,6,404915
"43","Acadia NP","ACAD",1982,7,737860
"44","Acadia NP","ACAD",1982,8,574164
"45","Acadia NP","ACAD",1982,9,541721
"46","Acadia NP","ACAD",1982,10,446170
"47","Acadia NP","ACAD",1982,11,303753
"48","Acadia NP","ACAD",1982,12,28370
"49","Acadia NP","ACAD",1983,1,23771
"50","Acadia NP","ACAD",1983,2,24667
"51","Acadia NP","ACAD",1983,3,25576
"52","Acadia NP","ACAD",1983,4,207347
"53","Acadia NP","ACAD",1983,5,287861
